p_val	avg_log2FC	pct.1	pct.2	p_val_adj	cluster	gene
Soga1	0	3.473733598779	0.524	0.125	0	Microglia	Soga1
Fosb	0	4.12524976816436	0.521	0.123	0	Microglia	Fosb
Abi3	0	5.4054524193629	0.413	0.015	0	Microglia	Abi3
Itga9	0	4.24440367329089	0.468	0.072	0	Microglia	Itga9
Skil	0	3.45114756317662	0.805	0.41	0	Microglia	Skil
8030442B05Rik	0	6.82363102208381	0.404	0.009	0	Microglia	8030442B05Rik
Ccl3	0	5.95146641575677	0.409	0.015	0	Microglia	Ccl3
Atp6v0c	0	3.25708058679906	0.46	0.068	0	Microglia	Atp6v0c
Arhgap17	0	3.09499306390732	0.627	0.238	0	Microglia	Arhgap17
Cd68	0	5.0750392581004	0.428	0.039	0	Microglia	Cd68
Fos	0	3.37386505640867	0.642	0.254	0	Microglia	Fos
Ttr	0	1.32570256928603	0.499	0.111	0	Microglia	Ttr
Picalm	0	3.71401332692072	0.942	0.555	0	Microglia	Picalm
Nmt1	0	3.85568024185989	0.435	0.049	0	Microglia	Nmt1
Ptbp3	0	2.734510947758	0.698	0.312	0	Microglia	Ptbp3
Nfkb1	0	2.67922899374013	0.737	0.352	0	Microglia	Nfkb1
Pdgfb	0	4.2321219842397	0.539	0.154	0	Microglia	Pdgfb
Wsb1	0	3.19494096652389	0.747	0.363	0	Microglia	Wsb1
Cyfip1	0	3.09545636285039	0.823	0.439	0	Microglia	Cyfip1
Il1a	0	7.5201807141352	0.389	0.006	0	Microglia	Il1a
Stab1	0	4.70417104250105	0.396	0.013	0	Microglia	Stab1
Irak2	0	2.86337514612298	0.536	0.155	0	Microglia	Irak2
Slc9a9	0	2.72851665541364	0.884	0.504	0	Microglia	Slc9a9
Nrros	0	3.88884492007642	0.429	0.049	0	Microglia	Nrros
Etv6	0	2.84369586833641	0.735	0.356	0	Microglia	Etv6
Ehd4	0	3.93814106090421	0.461	0.084	0	Microglia	Ehd4
Ier2	0	3.67850919991985	0.523	0.146	0	Microglia	Ier2
Pip4k2a	0	2.75862925084416	0.841	0.464	0	Microglia	Pip4k2a
Erbin	0	1.62016386997821	0.7	0.323	0	Microglia	Erbin
Ccl4	0	5.46465735919484	0.395	0.02	0	Microglia	Ccl4
Cd37	0	4.08244264585996	0.399	0.025	0	Microglia	Cd37
Baz1a	0	3.10371137853005	0.443	0.07	0	Microglia	Baz1a
Ttc28	0	2.73843683851418	0.698	0.325	0	Microglia	Ttc28
Edem1	0	3.72670834067492	0.522	0.15	0	Microglia	Edem1
Msn	0	2.91425571524871	0.561	0.19	0	Microglia	Msn
Irf5	0	5.36852202199248	0.383	0.013	0	Microglia	Irf5
Ubash3b	0	2.56404664589553	0.75	0.38	0	Microglia	Ubash3b
9930111J21Rik2	0	3.55387531523313	0.401	0.031	0	Microglia	9930111J21Rik2
Bank1	0	3.19357411908563	0.395	0.026	0	Microglia	Bank1
Arhgap25	0	3.30872386579954	0.491	0.124	0	Microglia	Arhgap25
Elf1	0	2.46509470261163	0.497	0.13	0	Microglia	Elf1
Elmo1	0	3.34280275730428	0.97	0.603	0	Microglia	Elmo1
Rab43	0	4.04973606103628	0.394	0.028	0	Microglia	Rab43
Kcnk13	0	3.27479477664729	0.46	0.095	0	Microglia	Kcnk13
Whrn	0	3.72839154182457	0.499	0.135	0	Microglia	Whrn
Man1a	0	2.28201531751692	0.704	0.34	0	Microglia	Man1a
4933406I18Rik	0	3.5606262541836	0.768	0.408	0	Microglia	4933406I18Rik
Frrs1	0	4.9732695483764	0.38	0.02	0	Microglia	Frrs1
Mapkapk2	0	3.70250213634495	0.526	0.167	0	Microglia	Mapkapk2
Heatr5a	0	3.35461578659731	0.529	0.171	0	Microglia	Heatr5a
Dock11	0	2.46183309354575	0.552	0.195	0	Microglia	Dock11
Cd300c2	0	5.52403371728516	0.369	0.012	0	Microglia	Cd300c2
Ctsa	0	3.52236827752231	0.576	0.22	0	Microglia	Ctsa
Sipa1l2	0	3.29703224926708	0.597	0.242	0	Microglia	Sipa1l2
Slc2a5	0	6.7068834721379	0.364	0.01	0	Microglia	Slc2a5
Rps6ka1	0	4.31676177785975	0.404	0.051	0	Microglia	Rps6ka1
Cttnbp2nl	0	3.45625783227059	0.513	0.162	0	Microglia	Cttnbp2nl
Pla2g4a	0	4.3884920359199	0.385	0.035	0	Microglia	Pla2g4a
Lacc1	0	4.84469615511005	0.383	0.033	0	Microglia	Lacc1
Vrk2	0	3.51518395099705	0.433	0.084	0	Microglia	Vrk2
Lag3	0	5.86056410055783	0.362	0.014	0	Microglia	Lag3
Notch2	0	2.63340841994796	0.453	0.106	0	Microglia	Notch2
Mitf	0	2.87332799342893	0.647	0.3	0	Microglia	Mitf
Mlxipl	0	5.94731532768625	0.356	0.01	0	Microglia	Mlxipl
Mtus1	0	3.13669236560176	0.497	0.151	0	Microglia	Mtus1
Ints6l	0	3.27443854758944	0.66	0.315	0	Microglia	Ints6l
Stat3	0	3.25681625390998	0.65	0.305	0	Microglia	Stat3
Ivns1abp	0	3.19813962016124	0.833	0.488	0	Microglia	Ivns1abp
Cst3	0	4.1709485898578	0.987	0.642	0	Microglia	Cst3
Dusp1	0	3.16671155754268	0.568	0.224	0	Microglia	Dusp1
Gmip	0	3.81433354373108	0.42	0.079	0	Microglia	Gmip
Nfatc1	0	3.18529681829936	0.386	0.046	0	Microglia	Nfatc1
Gsap	0	2.77002332018926	0.428	0.089	0	Microglia	Gsap
Serinc3	0	3.17747472049923	0.919	0.581	0	Microglia	Serinc3
Snx18	0	3.27130430831311	0.502	0.164	0	Microglia	Snx18
Rps27	0	2.01962743014485	0.461	0.125	0	Microglia	Rps27
Pou2f2	0	3.10459858450319	0.666	0.33	0	Microglia	Pou2f2
Elk3	0	3.54150519938236	0.419	0.083	0	Microglia	Elk3
Syk	0	3.1626776247611	0.366	0.03	0	Microglia	Syk
Ier3	0	4.60708598116658	0.411	0.075	0	Microglia	Ier3
Lamp2	0	2.70458824675148	0.637	0.302	0	Microglia	Lamp2
Qk	0	1.80150833631738	0.981	0.647	0	Microglia	Qk
Pik3cd	0	2.85054158882299	0.481	0.149	0	Microglia	Pik3cd
Arhgap24	0	3.05652757706287	0.447	0.118	0	Microglia	Arhgap24
Gm26542	0	4.15973168425329	0.416	0.087	0	Microglia	Gm26542
Apoe	0	2.70160310196217	0.551	0.224	0	Microglia	Apoe
Srgap2	0	4.03328971917717	0.967	0.64	0	Microglia	Srgap2
Rgs2	0	3.18448758424086	0.605	0.278	0	Microglia	Rgs2
Cdh23	0	5.42526689979523	0.349	0.022	0	Microglia	Cdh23
Lyz2	0	3.60584848183779	0.35	0.023	0	Microglia	Lyz2
Dennd4a	0	2.99829516990883	0.917	0.593	0	Microglia	Dennd4a
Bin2	0	4.22013750837029	0.344	0.02	0	Microglia	Bin2
Aif1	0	4.73932361412514	0.349	0.026	0	Microglia	Aif1
Sall3	0	4.01174293294327	0.365	0.043	0	Microglia	Sall3
Peli2	0	2.99134427189537	0.476	0.154	0	Microglia	Peli2
Npc2	0	3.02535655234631	0.563	0.242	0	Microglia	Npc2
Rap1b	0	2.96774409685299	0.767	0.447	0	Microglia	Rap1b
Tcf7l2	0	1.63278275616488	0.445	0.125	0	Microglia	Tcf7l2
Pald1	0	4.79147204258456	0.352	0.033	0	Microglia	Pald1
Mcl1	0	3.12315072274956	0.592	0.274	0	Microglia	Mcl1
Nrip1	0	3.0063334307976	0.714	0.396	0	Microglia	Nrip1
Hspa5	0	3.37761745067811	0.862	0.545	0	Microglia	Hspa5
Rapgef5	0	2.71651331306323	0.831	0.514	0	Microglia	Rapgef5
Stard9	0	2.97318252116524	0.501	0.186	0	Microglia	Stard9
Tbc1d16	0	3.49585116929403	0.439	0.124	0	Microglia	Tbc1d16
Cd14	0	5.61512471575334	0.324	0.009	0	Microglia	Cd14
Cox4i1	0	2.25564775882455	0.407	0.094	0	Microglia	Cox4i1
Tcirg1	0	4.27207254127979	0.358	0.046	0	Microglia	Tcirg1
Egr1	0	3.16029889388981	0.816	0.504	0	Microglia	Egr1
Slc29a3	0	3.91761120538547	0.367	0.056	0	Microglia	Slc29a3
Gna12	0	2.45569461838683	0.546	0.236	0	Microglia	Gna12
Lrch1	0	2.7863386007323	0.788	0.478	0	Microglia	Lrch1
Cmtm7	0	4.24895894001126	0.336	0.027	0	Microglia	Cmtm7
Rin2	0	2.98143877744298	0.48	0.172	0	Microglia	Rin2
Casp8	0	3.80079592689762	0.333	0.026	0	Microglia	Casp8
Rin3	0	3.86026958419626	0.332	0.026	0	Microglia	Rin3
Nfam1	0	5.37364157347718	0.318	0.012	0	Microglia	Nfam1
Sat1	0	2.65606675817032	0.601	0.297	0	Microglia	Sat1
Pik3r5	0	3.78333959502426	0.333	0.029	0	Microglia	Pik3r5
Kdm6b	0	3.2280913118024	0.545	0.242	0	Microglia	Kdm6b
Cables1	0	2.546862471433	0.468	0.165	0	Microglia	Cables1
Clic1	0	3.4655897761842	0.345	0.042	0	Microglia	Clic1
Tgif1	0	4.96334634329438	0.316	0.013	0	Microglia	Tgif1
Tbc1d22a	0	3.02123646453289	0.572	0.269	0	Microglia	Tbc1d22a
Klf2	0	3.22041877399374	0.34	0.038	0	Microglia	Klf2
Tcf25	0	2.13564493177488	0.396	0.095	0	Microglia	Tcf25
Tcn2	0	3.8147570133428	0.34	0.04	0	Microglia	Tcn2
Litaf	0	2.26725887874365	0.403	0.103	0	Microglia	Litaf
Hexa	0	3.38734799038997	0.544	0.245	0	Microglia	Hexa
Man1c1	0	2.98734076501223	0.541	0.244	0	Microglia	Man1c1
Ifnar2	0	2.92826855762098	0.402	0.106	0	Microglia	Ifnar2
Birc3	0	3.48184704023449	0.329	0.035	0	Microglia	Birc3
Casp4	0	4.91904168188976	0.307	0.013	0	Microglia	Casp4
Prkch	0	1.50328364741201	0.376	0.082	0	Microglia	Prkch
Ldlrad4	0	3.29091977151373	0.949	0.655	0	Microglia	Ldlrad4
Klf4	0	3.87022683093578	0.314	0.022	0	Microglia	Klf4
Ier5	0	2.57214198422471	0.711	0.42	0	Microglia	Ier5
Fcgr1	0	5.84488197495476	0.298	0.007	0	Microglia	Fcgr1
Rnf180	0	2.94064578277808	0.568	0.277	0	Microglia	Rnf180
Neat1	0	1.51909893014106	0.435	0.145	0	Microglia	Neat1
Diaph2	0	2.84044412113279	0.879	0.59	0	Microglia	Diaph2
Myh9	0	2.30333136493901	0.566	0.277	0	Microglia	Myh9
Arhgap30	0	3.15359850754867	0.32	0.032	0	Microglia	Arhgap30
Cmtm6	0	4.06666017242762	0.342	0.054	0	Microglia	Cmtm6
Gtf2h2	0	3.24065365704027	0.495	0.207	0	Microglia	Gtf2h2
Cox16	0	2.2963385428975	0.379	0.091	0	Microglia	Cox16
Gna15	0	5.39497588054156	0.3	0.012	0	Microglia	Gna15
Itgb2	0	3.67017244263054	0.309	0.022	0	Microglia	Itgb2
Arap3	0	5.03189876806098	0.302	0.015	0	Microglia	Arap3
Sirpa	0	2.91104583848796	0.912	0.627	0	Microglia	Sirpa
Gm42418	0	2.18088441618524	1	0.715	0	Microglia	Gm42418
Fchsd2	0	2.63427822032649	0.785	0.501	0	Microglia	Fchsd2
Plxnb2	0	3.72757064121722	0.375	0.091	0	Microglia	Plxnb2
Lmo2	0	3.35410404058028	0.363	0.079	0	Microglia	Lmo2
Ifitm10	0	3.29115027850478	0.5	0.218	0	Microglia	Ifitm10
Ltc4s	0	5.28334947657079	0.293	0.011	0	Microglia	Ltc4s
Smad7	0	2.54267828530777	0.534	0.253	0	Microglia	Smad7
Pmp22	0	2.91063924503549	0.346	0.065	0	Microglia	Pmp22
Ifrd1	0	2.92547271353431	0.64	0.36	0	Microglia	Ifrd1
A630001G21Rik	0	4.07475660842962	0.299	0.02	0	Microglia	A630001G21Rik
Mbnl1	0	2.16922550351182	0.92	0.642	0	Microglia	Mbnl1
Neurl3	0	3.80316679467755	0.297	0.019	0	Microglia	Neurl3
