Oligo	VLMC	Astro	L4_5_IT	L5_IT	L2_3_IT	Endo	L6_IT	Sst	L5_ET	L6_CT	Peri	PVM	Micro	SMC	L5_6_NP	Vip	OPC	Pvalb	Lamp5	L6_IT_Car3	L6b	Sncg
98	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
99	0	0.0505231411857291	0.0973130774892588	0	0	0.457446991923238	0.071278653276851	0.0316448517170002	0	0.0326843160046753	0	0.0956207495926134	0	0	0.163488218810634	0	0	0	0	0	0	0	0
100	0	0	0	0	0	0.70221579016075	0	0.281582772144865	0	0	0.0162014376943848	0	0	0	0	0	0	0	0	0	0	0	0
101	0	0	0	0.226553707905127	0.1940306181496	0.020355542471386	0	0.209460506434595	0.329403225305453	0	0.0201963997338395	0	0	0	0	0	0	0	0	0	0	0	0
102	0	0	0	0	0	0	0	0	0.0829623487825372	0	0	0	0	0	0	0	0	0	0.917037651217463	0	0	0	0
103	0	0	0	0.397738269199347	0.523774778949533	0	0	0.0483290712070452	0	0.0301578806440751	0	0	0	0	0	0	0	0	0	0	0	0	0
104	0	0	0	0	0	0	0.951967351068249	0	0	0	0	0	0.0235452905379732	0.0244873583937781	0	0	0	0	0	0	0	0	0
105	0	0	0	0.801085981587266	0.0166813273968726	0.182232691015862	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
106	0	0	0	0.429878453716711	0.556586360791231	0.0135351854920578	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
107	0	0	0	0	0.0452819614376863	0.0848030701963703	0	0.0668473795437312	0.0417440388917701	0.312651507488176	0.448672042442266	0	0	0	0	0	0	0	0	0	0	0	0
108	0	0	0	0	0	0	0.910868036741838	0	0.00947026362952316	0	0	0.0197061195356146	0.0599555800930242	0	0	0	0	0	0	0	0	0	0
109	0	0	0	0.468001418767183	0.111475954206086	0.258307664592816	0	0.162214962433915	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
110	0	0	0	0.0733848381419711	0.213464317831787	0.0158363300812288	0	0.0351174891648539	0	0.557676589079398	0.0522602178503803	0	0	0	0	0.0522602178503803	0	0	0	0	0	0	0
111	0	0	0	0	0	0	0	0	0	0.132063355824986	0.867204213975327	0	0	0	0	0.000732430199686299	0	0	0	0	0	0	0
112	0	0	0	0	0.270616208720979	0	0	0.256331249242577	0	0	0.00754801308851461	0	0	0	0	0	0	0	0	0	0.465504528947929	0	0
113	0	0	0	0.00283961605951363	0.0192225058520978	0	0.850916690140946	0.00341392829299014	0.0103113497558555	0	0.008273293804134	0.0164024275941201	0	0.088620188500343	0	0	0	0	0	0	0	0	0
114	0	0	0	0.0342403162473152	0.462896304808376	0	0	0	0.0996266812597621	0.403236697684547	0	0	0	0	0	0	0	0	0	0	0	0	0
115	0	0	0.0494288072091453	0.0453364651789102	0.00912952047239614	0.0128661461011014	0.625959907735123	0	0	0	0	0.229862695996268	0	0.0274164573070555	0	0	0	0	0	0	0	0	0
116	0	0	0	0.0316453015333605	0.744917874511273	0	0	0.223436823955366	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
117	0	0	0	0	0.0123549940985078	0.00545636496052824	0	0.0603257409831668	0.873499090005591	0.0426556730848918	0	0	0	0	0	0	0	0	0	0.00570813686731476	0	0	0
118	0	0	0.271092986676563	0	0	0	0	0	0	0	0	0	0	0	0	0	0.624025767559692	0	0	0.104881245763745	0	0	0
119	0	0	0	0.0687607692491442	0.0249927704629171	0.898492716907745	0	0.00775374338019333	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
120	0	0	0	0.589748078508269	0.161614851489403	0.213197562871051	0	0.0354395071312763	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
121	0	0	0	0.00349224858715842	0	0	0	0	0.279925971865953	0	0	0	0	0	0	0	0	0	0.716581779546888	0	0	0	0
