,spot,cell,value,spot_type,cell_type,x,y,Cell_xcoord,Cell_ycoord
2500,126,302459778732112774006775385059922442949,0.00023820867079561695,,L6_IT,4411.2253308285135,-3235.5579138444336,4399.038551480911,-3229.741540381887
3487,126,37554856667165669508130985073729968528,0.00023820867079561695,,L6_IT,4411.2253308285135,-3235.5579138444336,4416.6864128352345,-3261.717356002045
519,126,99251468401452935313158719077740209430,0.00023820867079561695,,L5_IT,4411.2253308285135,-3235.5579138444336,4393.905589489701,-3262.7388450908493
399,127,292589574705360931845513116568648500633,0.00023820867079561695,,L4_5_IT,4501.724295639003,-3235.5579138444336,4544.247942739643,-3251.0257868463286
963,127,248856473882122064399858835780086916827,0.00023820867079561695,,L4_5_IT,4501.724295639003,-3235.5579138444336,4521.251074202492,-3231.2363517256917
227,127,229469263489403941888037607228556497776,0.00023820867079561695,,L2_3_IT,4501.724295639003,-3235.5579138444336,4477.52126200349,-3213.6644871921453
502,127,67780315843296030562229607791361052740,0.00023820867079561695,,L2_3_IT,4501.724295639003,-3235.5579138444336,4468.937174449252,-3225.3346698993832
1177,127,114544211949302988408801432728450858233,0.00023820867079561695,,L5_IT,4501.724295639003,-3235.5579138444336,4496.664024800133,-3256.5282735586193
1631,128,81852874967837550190161655554667358128,0.00023820867079561695,,L6_IT,4592.223260449493,-3235.5579138444336,4590.6458567243335,-3256.875280261165
1949,128,67826780197371452970953188621853119692,0.00023820867079561695,,L6_IT,4592.223260449493,-3235.5579138444336,4586.205842587386,-3247.3248568506065
